Timestamp,Quat_W,Quat_X,Quat_Y,Quat_Z
1651139193226,0.224755,0.30078,0.804847,0.459605
1651139193236,0.229388,0.3034,0.804464,0.456251
1651139193246,0.230984,0.300986,0.803614,0.458537
1651139193256,0.237093,0.303518,0.802836,0.455101
1651139193266,0.238721,0.301395,0.801598,0.457835
1651139193277,0.242944,0.305465,0.800343,0.455102
1651139193286,0.24343699,0.302629,0.799716,0.457828
1651139193296,0.24641,0.305619,0.799391,0.45481
1651139193306,0.246221,0.301776,0.799483,0.45731
1651139193317,0.249071,0.303411,0.799747,0.454211
1651139193326,0.248716,0.299324,0.800167,0.456373
1651139193336,0.249693,0.300022,0.801108,0.453724
1651139193346,0.24896,0.296475,0.801575,0.455628
1651139193356,0.248759,0.297833,0.802848,0.452601
1651139193366,0.246422,0.295729,0.803578,0.453962
1651139193376,0.246139,0.298392,0.804556,0.450627
1651139193389,0.244905,0.296555,0.80501,0.451701
1651139193396,0.247607,0.299341,0.805374,0.447723
1651139193407,0.246915,0.297766,0.805505,0.448919
1651139193416,0.24975,0.300805,0.805412,0.445479
1651139193426,0.249338,0.299025,0.805491,0.446763
1651139193440,0.253033,0.302515,0.805123,0.44298398
1651139193446,0.252621,0.300338,0.805391,0.444211
1651139193456,0.254935,0.303183,0.805582,0.44059598
1651139193466,0.254498,0.300144,0.80624497,0.441714
1651139193477,0.256093,0.300938,0.807456,0.438025
1651139193489,0.25607,0.297988,0.808109,0.438851
1651139193496,0.257927,0.298125,0.809501,0.435087
1651139193507,0.259238,0.29597,0.809474,0.43583
1651139193516,0.264662,0.29689,0.809328,0.43219998
1651139193526,0.268237,0.294591,0.808019,0.434015
1651139193539,0.276719,0.296577,0.805913,0.431243
1651139193547,0.281111,0.293495,0.80423,0.433647
1651139193557,0.287565,0.294111,0.802934,0.431393
1651139193566,0.29211,0.290463,0.80171,0.433085
1651139193577,0.297433,0.289809,0.801629,0.430039
1651139193590,0.300673,0.288218,0.800404,0.431136
1651139193596,0.304365,0.290428,0.800121,0.427574
1651139193607,0.308315,0.290444,0.798493,0.427775
1651139193617,0.315684,0.294481,0.796452,0.423423
1651139193627,0.319724,0.294565,0.7947,0.423626
1651139193639,0.329982,0.298691,0.791685,0.418485
1651139193646,0.333194,0.29766,0.790004,0.419848
1651139193656,0.341489,0.300346,0.787098,0.416717
1651139193666,0.343725,0.297787,0.785491,0.419737
1651139193677,0.346717,0.299324,0.783991,0.418985
1651139193689,0.348936,0.296788,0.78266,0.421428
1651139193696,0.353407,0.298194,0.781565,0.41873398
1651139193707,0.355925,0.297217,0.779848,0.420493
1651139193716,0.364269,0.301052,0.77643,0.416929
1651139193726,0.367178,0.300437,0.773878,0.419557
1651139193739,0.376844,0.305194,0.768775,0.416927
1651139193746,0.379303,0.303814,0.766219,0.420397
1651139193756,0.386233,0.308997,0.761057,0.419685
1651139193766,0.386028,0.305387,0.760177,0.424088
1651139193777,0.387179,0.306041,0.758955,0.424755
1651139193789,0.385127,0.301598,0.759609,0.428611
1651139193797,0.384354,0.299461,0.761118,0.428128
1651139193806,0.386112,0.295557,0.760276,0.430746
1651139193816,0.390749,0.293432,0.759713,0.429007
1651139193826,0.393873,0.290696,0.757333,0.43220899
1651139193839,0.397138,0.29019,0.75580597,0.432235
1651139193846,0.40188,0.288727,0.752018,0.435427
1651139193856,0.404337,0.290828,0.749749,0.435667
1651139193866,0.409511,0.29017898,0.745925,0.437824
1651139193876,0.414681,0.293832,0.74197197,0.43724
1651139193888,0.42003,0.292461,0.73857,0.438811
1651139193896,0.429593,0.294834,0.733504,0.436455
1651139193906,0.43409,0.292732,0.730055,0.439195
1651139193917,0.442953,0.294853,0.723917,0.439087
1651139193927,0.44747,0.29179,0.720068,0.442864
1651139193938,0.452537,0.294805,0.71466,0.444477
1651139193946,0.456613,0.29057398,0.711786,0.447694
1651139193956,0.464616,0.290505,0.707067,0.446982
1651139193966,0.468221,0.286129,0.704517,0.450059
1651139193976,0.474759,0.288276,0.698831,0.450705
1651139193988,0.475421,0.282016,0.698542,0.4544
1651139193996,0.477817,0.279017,0.697237,0.45574
1651139194006,0.476009,0.271287,0.698505,0.460334
1651139194016,0.474051,0.264991,0.701286,0.461791
1651139194026,0.47182,0.258673,0.702424,0.46591
1651139194039,0.468532,0.253622,0.705444,0.46744
1651139194047,0.467775,0.249204,0.704993,0.471239
1651139194056,0.46728998,0.246495,0.705741,0.472026
1651139194066,0.468103,0.244066,0.704115,0.474902
1651139194076,0.469184,0.24449,0.702605,0.475853
1651139194089,0.469958,0.241932,0.701278,0.478347
1651139194101,0.473846,0.242227,0.698444,0.478508
1651139194107,0.473284,0.239571,0.698199,0.480753
1651139194116,0.471727,0.238799,0.698542,0.482168
1651139194127,0.470754,0.234621,0.699284,0.484091
